id,value
id_0,5.174960398984748
id_1,18.306214253527852
id_2,20.491218094180482
id_3,11.523942869805339
id_4,26.61605675230613
id_5,20.531348081761198
id_6,21.906551018797387
id_7,31.73646874706881
id_8,13.391674055111686
id_9,64.45646650291953
id_10,20.264568836159444
id_11,15.35857607736122
id_12,68.58947276926726
id_13,48.428113747457175
id_14,18.70233382419316
id_15,10.188595737466672
id_16,30.740362859820404
id_17,71.13221776355113
id_18,-4.130517391262481
id_19,18.23569401642869
id_20,38.578922275007756
id_21,71.31151972531326
id_22,7.410348162634065
id_23,18.71795533032141
id_24,14.937250260084552
id_25,36.71973669470532
id_26,17.96169700566266
id_27,75.78946287210542
id_28,12.309310248614462
id_29,56.295351739649604
id_30,25.113160865661467
id_31,4.610248674094002
id_32,2.4837705545150612
id_33,24.75942226132128
id_34,30.48028046559118
id_35,38.46393074642667
id_36,44.20231060933007
id_37,30.086836019865984
id_38,40.47367501574008
id_39,29.22647990231735
id_40,5.606456054343916
id_41,38.66601607878964
id_42,34.61021343187721
id_43,48.38969750738479
id_44,14.757247666944151
id_45,34.46682011087208
id_46,27.483106874184337
id_47,12.000879378154035
id_48,21.378036151603723
id_49,28.54440309166324
id_50,20.165513818411593
id_51,10.796678149746507
id_52,22.171035755750136
id_53,53.44626310935224
id_54,12.219581121610023
id_55,43.30096845517155
id_56,32.182335103285396
id_57,22.567217514570743
id_58,56.739514165547064
id_59,20.745052945295427
id_60,15.028854557473263
id_61,39.85530159038506
id_62,12.975340680728262
id_63,51.74165959283007
id_64,18.783369632539877
id_65,12.348752842777706
id_66,15.633623653541878
id_67,-0.05887147068501619
id_68,41.50801107307595
id_69,31.548747530655998
id_70,18.60425115754705
id_71,37.476819724880684
id_72,56.52039065762302
id_73,6.587877193521942
id_74,12.229339737435005
id_75,5.203696404134703
id_76,47.92737510380057
id_77,13.020705685594647
id_78,17.110301693903608
id_79,20.603234531002023
id_80,21.28448156078455
id_81,38.692935290511805
id_82,30.020716675725836
id_83,88.76740666723542
id_84,35.98470023966827
id_85,26.756913553477176
id_86,23.96351684356442
id_87,32.747242828083095
id_88,22.189043755319933
id_89,20.992158853626528
id_90,29.555994316645442
id_91,40.99216886651777
id_92,8.62511780991155
id_93,32.3214718088779
id_94,46.598044365367635
id_95,22.884070826723534
id_96,31.518129728251637
id_97,11.19823347976612
id_98,28.52743664252961
id_99,0.29115068008960954
id_100,17.966961079539672
id_101,27.124163929470154
id_102,11.39823278065283
id_103,16.426426865673506
id_104,23.425261046922174
id_105,40.61608267056836
id_106,25.86412502656034
id_107,5.422736951672348
id_108,10.794921122256149
id_109,72.86213692992128
id_110,48.02283705948137
id_111,15.74680827690295
id_112,24.670410614177975
id_113,12.827793326536721
id_114,10.158057570240503
id_115,27.26922334202096
id_116,29.20873857793243
id_117,8.835339619930723
id_118,20.051088137129703
id_119,20.212333743764226
id_120,79.90600929870556
id_121,18.061614288263574
id_122,30.54280934130431
id_123,25.980792377728015
id_124,5.212577268164761
id_125,30.35569730585616
id_126,7.7683228889146285
id_127,15.328268255393262
id_128,22.666365717697957
id_129,62.74205421109005
id_130,18.950780367987996
id_131,19.076355630838528
id_132,61.37157409163706
id_133,15.8845620526297
id_134,13.409418077705546
id_135,0.8487724836112882
id_136,7.834996717304172
id_137,57.01282901179676
id_138,25.607996751813833
id_139,4.961704729242043
id_140,36.41487903906274
id_141,28.79000672197592
id_142,49.194120961976346
id_143,40.306869855734476
id_144,13.316180593982669
id_145,27.66101187522914
id_146,17.15802752436674
id_147,49.687262569296784
id_148,23.03027229160478
id_149,39.240936524842766
id_150,13.196753889412577
id_151,5.948893701039433
id_152,25.82160897630427
id_153,8.258634214291625
id_154,19.146320517225632
id_155,43.18248652651671
id_156,6.717843578093023
id_157,33.869615246810625
id_158,15.369937846981895
id_159,16.939044973551923
id_160,37.885336794634846
id_161,19.20248454105441
id_162,9.059504715654718
id_163,10.283399610648491
id_164,48.67244712569831
id_165,30.58771621323085
id_166,2.477409897532171
id_167,12.811603937805936
id_168,70.32478980976462
id_169,14.84096769406699
id_170,68.8655875667886
id_171,42.74199244486631
id_172,24.00026154292012
id_173,23.420724860321457
id_174,61.6721244356824
id_175,25.494202845059178
id_176,19.00480978686904
id_177,34.88668288189679
id_178,9.402313398379697
